0,NULLDEF_COMBAT_TYPE,Пустой тип боя
1,COMBAT_TYPE_TEMPLATE,Шаблон типа боя
2,HOBBE_ATTACK_STYLE_BASE,Хобб (Основа)
3,BANDIT_ATTACK_STYLE_BASE,Бандит (Основа)
4,ICE_HORDE_ATTACK_STYLE_BASE,Ледяная Орда (Основа)
5,SUMMONER_ATTACK_STYLE_BASE,Призыватель (Основа)
6,COMBAT_TYPE_NULL,Пустой тип боя
7,HOBBE_GRUNT_ATTACK_STYLE_BASIC,Хобб-ворчун (Основа)
8,HOBBE_GRUNT_ATTACK_STYLE,Хобб-ворчун
9,HOBBE_LIEUTENANT_ATTACK_STYLE,Хобб-лейтенант
10,HOBBE_SPELLCASTER_ATTACK_STYLE_BASIC,Хобб-заклинатель
11,HOBBE_SPELLCASTER_ATTACK_STYLE,Хобб-заклинатель
12,BANDIT_GRUNT_ATTACK_STYLE,Бандит-ворчун
13,BANDIT_GRUNT_ATTACK_STYLE1,Бандит-ворчун 1
14,BANDIT_GRUNT_ATTACK_STYLE2,Бандит-ворчун 2
15,BANDIT_GRUNT_ATTACK_STYLE3,Бандит-ворчун 3
16,BANDIT_ARCHER_ATTACK_STYLE,Бандит-лучник
17,BANDIT_ARCHER_ATTACK_STYLE2,Бандит-лучник 2
18,BANDIT_ARCHER_ATTACK_STYLE3,Бандит-лучник 3
19,BANDIT_LEADER_ATTACK_STYLE,Бандит-лидер
20,BANDIT_LEADER_ATTACK_STYLE2,Бандит-лидер 2
21,BANDIT_LEADER_ATTACK_STYLE3,Бандит-лидер 3
22,BANDIT_ASSASSIN_ATTACK_STYLE,Бандит-ассасин
23,BANDIT_LIEUTENANT_ATTACK_STYLE,Бандит-лейтенант
24,BOWERSTONE_GUARD_ATTACK_STYLE,Стражник Боурстоуна:
25,BOWERSTONE_GUARD_ATTACK_STYLE_OFARM,Стражник Боурстоуна: Стиль (OFARM)
26,BOWERSTONE_GUARD_ATTACK_STYLE_BLUE,Стражник Боурстоуна: Синий
27,BOWERSTONE_GUARD_ATTACK_STYLE_RED,Стражник Боурстоуна: Красный
28,BOWERSTONE_GUARD_ATTACK_STYLE_BLACK,Стражник Боурстоуна: Чёрный
29,WEAKER_GUARD_ATTACK_STYLE,Слабый стражник
30,HERO_RIVAL_01_ATTACK_STYLE,Герой-соперник
31,HERO_BRIAR_ROSE_IMPOSTER_ATTACK_STYLE,Брайер Роуз (предатель)
32,HERO_BRIAR_ROSE_BOSS_ATTACK_STYLE,Брайер Роуз (босс)
33,HERO_BRIAR_ROSE_ATTACK_STYLE,Брайер Роуз
34,HERO_BRIAR_ROSE_ATTACK_STYLE_MINION_CAMP,Брайер Роуз (лагерь миньонов)
35,HERO_BRIAR_ROSE_ATTACK_STYLE_FOCAL_SITES,Брайер Роуз (точки сосредоточения)
36,HERO_MAZE_ATTACK_STYLE,Мэйз
37,HERO_MAZE_TUTORIAL_ATTACK_STYLE,Мэйз (обучение)
38,HERO_MAZE_TUTORIAL_ATTACK_STYLE2,Мэйз (обучение) 2
39,HERO_SCYTHE_ATTACK_STYLE,Жнец
40,BANDIT_KING_ATTACK_STYLE,Король бандитов: Стиль атаки
41,VILLAGER_COMBAT_TYPE_BASE,Житель (Основа)
42,VILLAGER_COMBAT_TYPE,Житель
43,TRADER_COMBAT_TYPE,Торговец
44,VILLAGER_FISTICUFFS_COMBAT_TYPE,Житель (Кулачный бой)
45,VILLAGER_FISTICUFFS_COMBAT_TYPE_HARD,Житель (Кулачный бой сложный)
46,VILLAGER_FISTICUFFS_COMBAT_TYPE_LEADER,Житель (Кулачный бой лидер)
47,FEMALE_VILLAGER_COMBAT_TYPE,Жительница
48,ARMED_VILLAGER_COMBAT_TYPE,Вооружённый житель
49,ARMED_VILLAGER_COMBAT_TYPE_JOSH,Вооружённый житель (Джош)
50,HERO_ATTACK_STYLE,Герой
51,SPIRIT_ATTACK_STYLE,Дух
52,BALVERINE_ATTACK_STYLE_EASY,Оборотень (Лёгкий)
53,BALVERINE_ATTACK_STYLE,Оборотень
54,WHITE_BALVERINE_ATTACK_STYLE,Белый Оборотень
55,WHITE_BALVERINE_BLOCK_ALWAYS_ATTACK_STYLE,Белый Оборотень (Всегда блокирует)
56,NYMPH_ATTACK_STYLE,Нимфа
57,FODDER_CREATURE_ATTACK_STYLE_EASY,Пушечное мясо (Лёгкий)
58,FODDER_CREATURE_ATTACK_STYLE,Пушечное мясо
59,FODDER_CREATURE_ATTACK_STYLE_NASTY,Пушечное мясо (Жестокий)
60,SCORPION_ATTACK_STYLE,Скорпион
61,BEETLE_ATTACK_STYLE,Жук
62,BEETLE_ATTACK_STYLE_QUEEN,Королева жуков
63,QUEEN_HORNET_ATTACK_STYLE,Королева пчёл
64,TROLL_ATTACK_STYLE,Тролль
65,TROLL_ROCK_ATTACK_STYLE,Каменный тролль
66,TROLL_EARTH_ATTACK_STYLE,Земляной тролль
67,UNDEAD_SOLDIER_ATTACK_STYLE,Нежить-солдат
68,UNDEAD_LIEUTENANT_ATTACK_STYLE,Нежить-лейтенант
69,UNDEAD_GENERAL_ATTACK_STYLE,Нежить-генерал
70,ICE_HORDE_ATTACK_STYLE,Ледяная Орда
71,NOSTRO_ATTACK_STYLE,Ностро
72,NOSTRO_MINION_ATTACK_STYLE,Ностро (миньон)
73,HERO_JACK_OF_BLADES_ATTACK_STYLE,Джек-из-Тени
74,HERO_JACK_OF_BLADES_ATTACK_STYLE_LAST_STAND,Джек-из-Тени (Последняя стойка)
75,HERO_WHISPER_ATTACK_STYLE,Уиспер
76,HERO_WHISPER_ATTACK_STYLE_OFARM,Уиспер (OFARM)
77,HERO_WHISPER_TUTORIAL_ATTACK_STYLE,Уиспер (обучение)
78,HERO_WHISPER_TUTORIAL_VS_BLOCK_ATTACK_STYLE,Уиспер (обучение против блока)
79,HERO_WHISPER_TUTORIAL_ATTACK_STYLE_DONT_ATTACK,Шёпот (обучение не атаковать)
80,HERO_WHISPER_TUTORIAL_ATTACK_STYLE_ORCHARD,Уиспер (обучение сад)
81,HERO_THUNDER_ATTACK_STYLE,Гром
82,SCORPION_KING_ATTACK_STYLE,Король скорпионов
83,MINION_ATTACK_STYLE,Миньон
84,MINION_DREADWINGS_ATTACK_STYLE,Миньон-заклинатель
