249,BUILDING_TEMPLATE,Шаблон здания
250,BUILDING_VILLAGE_TEMPLATE,Шаблон деревенского здания
251,BUILDING_VILLAGE_WALLS_TEMPLATE,Шаблон деревенской стены
252,BUILDING_VILLAGE_TAVERN_TEMPLATE,Шаблон деревенской таверны
253,BUILDING_VILLAGE_SHOP_TEMPLATE,Шаблон деревенской лавки
254,BUILDING_VILLAGE_MARKETSTALL_TEMPLATE,Шаблон деревенской рыночной палатки
535,BUILDING_ARENA_EXTERIOR_SHOP_TITLE_VENDOR,Вывеска торговца (Арена, внешний периметр)
536,BUILDING_HERO_ARENA,Арена героев
537,BUILDING_ARENA_HERO_PODIUM_01,Подиум героя 01
538,BUILDING_ARENA_COMBAT_ENTRANCE_01,Вход на арену 01
539,BUILDING_HERO_SHOP_TENT,Палатка торговца
540,BUILDING_ARENA_EXTERIOR_SECTION_01,Внешняя секция арены 01
541,BUILDING_ARENA_EXTERIOR_SECTION_02,Внешняя секция арены 02
542,BUILDING_ARENA_EXTERIOR_SECTION_03,Внешняя секция арены 03
543,BUILDING_ARENA_INTERIOR_SECTION_01,Внутренняя секция арены 01
544,BUILDING_ARENA_INTERIOR_SECTION_02,Внутренняя секция арены 02
545,BUILDING_ARENA_INTERIOR_SECTION_03,Внутренняя секция арены 03
546,BUILDING_ARENA_INTERIOR_SECTION_04,Внутренняя секция арены 04
547,BUILDING_HERO_ARENA_ENTRANCE_EXTERIOR_01,Вход в Арену героев (внешний) 01
548,BUILDING_HERO_ARENA_CELLS_INTERIOR_01,Камеры Арены героев (интерьер) 01
549,BUILDING_ARENA_CELLS_02,Камеры арены 02
550,BUILDING_ARENA_CELLS_03,Камеры арены 03
551,BUILDING_ARENA_CELLS_04,Камеры арены 04
552,BUILDING_ARENA_CELLS_05,Камеры арены 05
553,BUILDING_ARENA_CELLS_06,Камеры арены 06
554,BUILDING_ARENA_CELLS_07,Камеры арены 07
555,BUILDING_ARENA_CELLS_WEAPON_STALL_01,Оружейная палатка (камеры арены) 01
556,BUILDING_HERO_ARENA_HALL_OF_HEROES_01,Зал славы (Арена героев) 01
557,BUILDING_HOH_01,Зал славы 01
558,BUILDING_HOH_02,Зал славы 02
559,BUILDING_HOH_03,Зал славы 03
560,BUILDING_HOH_04,Зал славы 04
561,BUILDING_HOH_05,Зал славы 05
586,BUILDING_BS_SHOP_TAILOR_01,Лавка портного (Бауэрстоун) 01
587,BUILDING_BS_SHOP_GIFTSHOP_01,Лавка подарков (Бауэрстоун) 01
588,BUILDING_BS_SHOP_BARBER_01,Цирюльня (Бауэрстоун) 01
589,BUILDING_BS_SLUM_INN_01,Таверна в трущобах (Бауэрстоун) 01
590,BUILDING_BS_SCHOOL,Школа (Бауэрстоун)
591,BUILDING_TOWN_ARCH_01,Городская арка 01
592,BUILDING_TOWN_BARRACKS_01,Городские казармы 01
593,BUILDING_TOWN_WAREHOUSE_01,Городской склад 01
594,BUILDING_TOWN_WAREHOUSE_02,Городской склад 02
595,BUILDING_TOWN_WAREHOUSE_03,Городской склад 03
596,BUILDING_BS_GUARD_HUT_02,Сторожевая будка стражи (Бауэрстоун) 02
597,BUILDING_BS_GATEHOUSE,Крепостные ворота (Бауэрстоун)
598,BUILDING_BS_BRIDGE,Мост (Бауэрстоун)
599,BUILDING_BS_INN_CELLAR_01,Подвал таверны (Бауэрстоун) 01
600,BUILDING_BS_POSH_HOUSE_01,Богатый дом (Бауэрстоун) 01
601,BUILDING_BS_POSH_HOUSE_02,Богатый дом (Бауэрстоун) 02
602,BUILDING_BS_HOUSE_SHERIFF_01,Дом шерифа (Бауэрстоун) 01
603,BUILDING_BS_NORTH_POSH_SHOP_01,Лавка в Северном Бауэрстоуне 01
604,BUILDING_BS_POSH_GATEHOUSE,Ворота в богатый квартал (Бауэрстоун)
605,BUILDING_BS_NORTH_POSH_GATEHOUSE_JAIL_01,Тюрьма у ворот Северного Бауэрстоуна 01
606,BUILDING_BS_NORTH_POSH_GATEHOUSE_JAIL_DISUSED_01,Заброшенная тюрьма у ворот Северного Бауэрстоуна 01
607,BUILDING_BS_MAYORS_HOUSE_BEDROOM,Спальня в доме мэра (Бауэрстоун)
608,BUILDING_BS_MAYORS_HOUSE_ENTRANCE_HALL,Прихожая в доме мэра (Бауэрстоун)
609,BUILDING_BS_MAYORS_HOUSE_HALLWAY,Коридор в доме мэра (Бауэрстоун)
610,BUILDING_CASTLEHALLWAY02,Замковый коридор 02
611,BUILDING_CASTLEHALLWAY03,Замковый коридор 03
612,BUILDING_CASTLEHALLWAY04,Замковый коридор 04
613,BUILDING_BS_SLUM_HOUSE_01,Дом в трущобах (Бауэрстоун) 01
614,BUILDING_BS_SLUM_HOUSE_02,Дом в трущобах (Бауэрстоун) 02
615,BUILDING_BS_SLUM_TEMPLATE,Шаблон трущоб (Бауэрстоун)
616,BUILDING_BS_SLUM_01,Трущобы (Бауэрстоун) 01
617,BUILDING_BS_SLUM_02,Трущобы (Бауэрстоун) 02
618,BUILDING_BS_SLUM_03,Трущобы (Бауэрстоун) 03
619,BUILDING_BS_SLUM_04,Трущобы (Бауэрстоун) 04
620,BUILDING_BS_SLUM_05,Трущобы (Бауэрстоун) 05
621,BUILDING_BS_SLUM_06,Трущобы (Бауэрстоун) 06
622,BUILDING_BS_SLUM_06_UNINHABITED,Нежилой дом в трущобах (Бауэрстоун) 06
623,BUILDING_BS_SLUM_BLACKSMITH_01,Кузница в трущобах (Бауэрстоун) 01
624,BUILDING_BS_SLUM_HOUSE_BUYABLE,Покупной дом в трущобах (Бауэрстоун)
625,BUILDING_MARKETSTALL_BLUE_OPEN_01,Рыночная палатка (синяя, открытая) 01
626,BUILDING_MARKETSTALL_BLUE_CLOSED_01,Рыночная палатка (синяя, закрытая) 01
627,BUILDING_MARKETSTALL_GREEN_OPEN_01,Рыночная палатка (зеленая, открытая) 01
628,BUILDING_MARKETSTALL_GREEN_CLOSED_01,Рыночная палатка (зеленая, закрытая) 01
629,BUILDING_MARKETSTALL_PURPLE_OPEN_01,Рыночная палатка (фиолетовая, открытая) 01
630,BUILDING_MARKETSTALL_PURPLE_CLOSED_01,Рыночная палатка (фиолетовая, закрытая) 01
631,BUILDING_MARKETSTALL_RED_OPEN_01,Рыночная палатка (красная, открытая) 01
632,BUILDING_MARKETSTALL_RED_CLOSED_01,Рыночная палатка (красная, закрытая) 01
