0,ST_SNEAK,Красться
1,ST_WALK,Ходьба
2,ST_RUN,Бег
3,ST_OPINION_,Мнение/Эмоция
4,ST_SPRINT,Бег
5,ST_JOG,Бег трусцой
6,ST_SLOW_WALK,Медленная ходьба
7,ST_HEAD_TURN_H,Поворот головы (горизонтально)
8,ST_HEAD_TURN_V,Поворот головы (вертикально)
9,ST_BLINK,Моргание
10,ST_ABILITY_FAST_SHEATHE_TO_COMBAT_POSE,Быстрое вложение оружия в боевую стойку
11,ST_WALK_,Ходьба (альт.)
12,ST_HOVER_,Зависание
13,ST_BUILD_DIVINE_WRATH,Накопление Божественного Гнева
14,ST_BUILD_UNHOLY_POWER,Накопление Нечестивой Силы
15,ST_ABILITY_FAST_UNSHEATHE_TO_COMBAT_POSE,Быстрое обнажение оружия в боевую стойку
16,ST_FLY,Полет
17,ST_HOMICIDAL_INTRO,Вступление (убийственное)
18,ST_IDLE,Ожидание
19,ST_HOLD_BOX_PUT_DOWN,Удержание ящика (поставить)
20,ST_CALL_OVER,Подозвать
21,ST_PICK_UP_GENERIC_BOX,Поднять ящик
22,ST_RUN_STOP,Остановка после бега
23,ST_RUN_180_TURN,Разворот на 180° во время бега
24,ST_JUMP,Прыжок
25,ST_IDLE_COMB,Ожидание (комбинированное)
26,ST_IDLE_SUBTLE,Ожидание (незаметное)
27,ST_IDLE_MELEE,Ожидание (ближний бой)
28,ST_STAND_UP_FROM_FLOOR,Встать с пола
29,ST_SIT_ON_FLOOR,Сидеть на полу
30,ST_DRAIN_LIFE_OUTOF,Выход из вампиризма
31,ST_CAST_DRAIN_LIFE,Применение вампиризма
32,ST_CAST_DRAIN_LIFE_ADVANCE,Применение вампиризма (продвижение)
33,ST_DIE,Смерть
34,ST_RELEASE_ENFLAME,Высвобождение Огненного Круга
35,ST_BUILD_UP_ENFLAME,Накопление Огненного Круга
36,ST_RELEASE_PHYSICAL_SHIELD,Высвобождение Физического Щита
37,ST_BUILD_UP_PHYSICAL_SHIELD,Накопление Физического Щита
38,ST_REMOVE_PHYSICAL_SHIELD,Снятие Физического Щита
39,ST_CAST_TURNCOAT,Применение Предательства
40,ST_BUILD_UP_TURNCOAT,Накопление Предательства
41,ST_RELEASE_TURNCOAT,Высвобождение Предательства
42,ST_BUILD_UP_DRAIN_LIFE,Накопление вампиризма
43,ST_RELEASE_DRAIN_LIFE,Высвобождение вампиризма
44,ST_CAST_HEAL,Применение лечения (на другого)
45,ST_CAST_HEAL_SELF,Применение лечения (на себя)
46,ST_BUILD_UP_HEAL,Накопление лечения (на другого)
47,ST_BUILD_UP_HEAL_SELF,Накопление лечения (на себя)
48,ST_RELEASE_HEAL,Высвобождение лечения (на другого)
49,ST_RELEASE_HEAL_SELF,Высвобождение лечения (на себя)
50,ST_CAST_SUMMON_GHOST_SWORD,Призыв Призрачного Меча
51,ST_BUILD_UP_SUMMON_GHOST_SWORD,Накопление Призрачного Меча
52,ST_RELEASE_SUMMON_GHOST_SWORD,Высвобождение Призрачного Меча
53,ST_CAST_SUMMON_SPELL,Призыв заклинанием
54,ST_BUILD_UP_SUMMON_SPELL,Накопление призыва
55,ST_RELEASE_SUMMON_SPELL,Высвобождение призыва
56,ST_BUILD_UP_FIREBALL_SPELL,Накопление Огненного Шара
57,ST_TELEPORT,Телепортация
58,ST_TELEPORT_OUT,Телепортация (выход)
59,ST_TELEPORT_IN,Телепортация (вход)
60,ST_CAST_DIVINE_WRATH,Применение Божественного Гнева
61,ST_RELEASE_DIVINE_WRATH,Высвобождение Божественного Гнева
62,ST_RELEASE_LOOP_DIVINE_WRATH,Цикл высвобождения Божественного Гнева
63,ST_CAST_UNHOLY_POWER,Применение Нечестивой Силы
64,ST_RELEASE_UNHOLY_POWER,Высвобождение Нечестивой Силы
65,ST_RELEASE_LOOP_UNHOLY_POWER,Цикл высвобождения Нечестивой Силы
66,ST_FORCE_PUSH_INTO,Вход в Силовой Толчок
67,ST_BUILDUP_PHYSICAL_SHIELD,Накопление Физического Щита
68,ST_BUILDUP_ENFLAME,Накопление Огненного Круга
69,ST_HEAL_INTO,Вход в лечение
70,ST_HEAL_RELEASE,Высвобождение лечения
71,ST_GET_UP_FROM_FALL,Подняться после падения
