0,EXPRESSION_FOLLOW,Следовать за мной
1,EXPRESSION_WAIT,Подожди
2,EXPRESSION_PICKPOCKET,Обокрасть
3,EXPRESSION_PICKLOCK,Взломать замок
4,EXPRESSION_STEAL,Украсть
5,EXPRESSION_BANDIT_WAVE_1,Жест бандита 1
6,EXPRESSION_BANDIT_WAVE_2,Жест бандита 2
7,EXPRESSION_INSULT_01,Оскорбление 1
8,EXPRESSION_INSULT_02,Оскорбление 2
9,EXPRESSION_INSULT_03,Оскорбобление 3
10,EXPRESSION_INSULT_04,Оскорбление 4
11,EXPRESSION_HEROIC_STANCE,Героическая поза
12,EXPRESSION_FLIRT,Флирт
13,EXPRESSION_APOLOGY,Извинение
14,EXPRESSION_SNEER,Насмешка/Ухмылка
15,EXPRESSION_EVIL_LAUGH,Злой смех
16,EXPRESSION_BATTLE_CRY,Боевой клич
17,EXPRESSION_PELVIC_THRUST,Движение тазом
18,EXPRESSION_MIDDLE_FINGER,Средний палец
19,EXPRESSION_BELCH,Отрыжка
20,EXPRESSION_FART,Пердение
21,EXPRESSION_VICTORY_PUMP,Жест победы
22,EXPRESSION_GIGGLE,Хихиканье
23,EXPRESSION_SHIT,Дерьмо/Чёрт
24,EXPRESSION_THANKS,Спасибо
25,EXPRESSION_COCK_A_DOODLE_DO,Кукареку
26,EXPRESSION_CROTCH_GRAB,Хватка за пах
27,EXPRESSION_KISS_MY_ASS,Поцелуй меня в зад
28,EXPRESSION_FLAMENCO,Фламенко
29,EXPRESSION_COSSACK,Казачок
30,EXPRESSION_AIR_GUITAR,Воздушная гитара
31,EXPRESSION_BALLET,Балет
32,EXPRESSION_SATURDAY_NIGHT_FEVER,Танец из "Лихорадки субботнего вечера"
33,EXPRESSION_TAP,Чечётка
34,EXPRESSION_Y,Жест Y
35,EXPRESSION_M,Жест M
36,EXPRESSION_C,Жест C
37,EXPRESSION_A,Жест A
