ID,ORIGINAL,TRANSLATE,CRASH,LIMITED
125,NULLDEF_OBJECT,СБОЙ,СБОЙ (вылетает игра),1
285,OBJECT_BASE,Шаблон для объектов,СБОЙ (вылетает игра),1
286,OBJECT_FENCE_TEMPLATE,Шаблон для забора (Пустой объект с коллизией),Ландшафт (не поднять),0
287,OBJECT_FENCE_PLACEABLE_TEMPLATE,Шаблон размещаемого забора,"Ничего не появляется, сбоя нет",0
288,OBJECT_TREE_TEMPLATE,Шаблон дерева,"Ничего не появляется, сбоя нет",0
289,OBJECT_BUILDING_DOOR_TEMPLATE,Шаблон двери,СБОЙ (вылетает игра),1
290,OBJECT_LOCKABLE_DOOR_TEMPLATE,Шаблон двери,СБОЙ (вылетает игра),1
291,OBJECT_BED_BASE_TEMPLATE,Шаблон кровати,СБОЙ (вылетает игра),1
292,OBJECT_BED_NORMAL_TEMPLATE,Шаблон кровати,СБОЙ (вылетает игра),1
293,OBJECT_ANIMATING_BED_TEMPLATE,Шаблон кровати,СБОЙ (вылетает игра),1
294,OBJECT_BED_FLOOR_TEMPLATE,Шаблон кровати,"Ничего не появляется, сбоя нет",0
295,OBJECT_CUPBOARD_TEMPLATE,Шаблон шкафа,СБОЙ (вылетает игра),1
296,OBJECT_CLOCKHAND_TEMPLATE,Шаблон часов,СБОЙ (вылетает игра),1
297,OBJECT_GRAPHICAL_FEEDBACK_TEMPLATE,Ничего не появляется,"Ничего не появляется, сбоя нет",0
298,OBJECT_DEGRADABLE_BARRIER_TEMPLATE,Шаблон ломающегося барьера,СБОЙ (вылетает игра),1
299,OBJECT_SMASHABLE_WINDOW_TEMPLATE,Шаблон разбиваемого окна,СБОЙ (вылетает игра),1
300,OBJECT_FLORA_TEMPLATE,Шаблон растений,"Ничего не появляется, сбоя нет",0
301,OBJECT_ITEM_NONHOLDABLE_TEMPLATE,Ничего не появляется,"Ничего не появляется, сбоя нет",0
302,OBJECT_VILLAGE_SOLID_FURNITURE_BASE_TEMPLATE,Шаблон мебели,"Ничего не появляется, сбоя нет",0
303,OBJECT_VILLAGE_SOLID_FURNITURE_TEMPLATE,Шаблон мебели,"Ничего не появляется, сбоя нет",0
304,OBJECT_VILLAGE_SOLID_FURNITURE_SMALL_TEMPLATE,Шаблон мебели (Пустой объект с коллизией),Ландшафт (не поднять),0
305,OBJECT_VILLAGE_TAVERN_BAR_TEMPLATE,Шаблон барной стойки,"Ничего не появляется, сбоя нет",0
306,OBJECT_GRAVE,Могила,"Ничего не появляется, сбоя нет",0
307,OBJECT_VILLAGE_SOLID_FURNITURE_REPLACEABLE_TEMPLATE,Шаблон перемещаемой мебели,СБОЙ (вылетает игра),1
308,OBJECT_LANDSCAPE_SOLID_FURNITURE_TEMPLATE,Ничего не появляется,"Ничего не появляется, сбоя нет",0
309,OBJECT_CAVE_TEMPLATE,Шаблон пещеры,"Ничего не появляется, сбоя нет",0
310,OBJECT_ROCK_WALKABLE_TEMPLATE,Шаблон камня,"Ничего не появляется, сбоя нет",0
311,OBJECT_ROCK_IMPASSABLE_TEMPLATE,Шаблон камня,"Ничего не появляется, сбоя нет",0
312,OBJECT_TREESTUMP_TEMPLATE,Шаблон пня,"Ничего не появляется, сбоя нет",0
313,OBJECT_STREETLAMP_BASE_TEMPLATE,Шаблон фонаря,СБОЙ (вылетает игра),1
314,OBJECT_STREETLAMP_GLOW_TEMPLATE,Шаблон фонаря,СБОЙ (вылетает игра),1
315,OBJECT_STREETLAMP_FLAME_TEMPLATE,Шаблон фонаря,СБОЙ (вылетает игра),1
316,OBJECT_STREETLAMP_GLOW_UNLIT_TEMPLATE,Шаблон фонаря,СБОЙ (вылетает игра),1
317,OBJECT_STREETLAMP_GLOW_LIT_TEMPLATE,Шаблон фонаря,СБОЙ (вылетает игра),1
318,OBJECT_STREETLAMP_FLAME_UNLIT_TEMPLATE,Шаблон фонаря,СБОЙ (вылетает игра),1
319,OBJECT_STREETLAMP_FLAME_LIT_TEMPLATE,Шаблон фонаря,СБОЙ (вылетает игра),1
320,OBJECT_VILLAGE_TAVERN_TABLE_TEMPLATE,Шаблон стола из таверны,"Ничего не появляется, сбоя нет",0
321,OBJECT_VILLAGE_HOME_TABLE_TEMPLATE,Шаблон стола из дома,"Ничего не появляется, сбоя нет",0
322,OBJECT_VILLAGE_SAWHORSE_TEMPLATE,Шаблон стоек для пилки дров,"Ничего не появляется, сбоя нет",0
323,OBJECT_VILLAGE_ANVIL_TEMPLATE,Шаблон наковальни,"Ничего не появляется, сбоя нет",0
324,OBJECT_LANDSCAPE_INTANGIBLE_FURNITURE_TEMPLATE,Шаблон нематериальной мебели,"Ничего не появляется, сбоя нет",0
325,OBJECT_HOLDABLE_TEMPLATE,Ничего не появляется,"Ничего не появляется, сбоя нет",0
326,OBJECT_HOLDABLE_CLOTHING_TEMPLATE,Ничего не появляется,"Ничего не появляется, сбоя нет",0
327,OBJECT_QUEST_CARD_TEMPLATE,Шаблон свитка,Ландшафт (не поднять),0
328,OBJECT_VIGNETTE_CARD_TEMPLATE,Шаблон свитка,Ландшафт (не поднять),0
329,OBJECT_SHOT_TEMPLATE,Шаблон выстрела,"Ничего не появляется, сбоя нет",0
330,OBJECT_BRIDGE_TEMPLATE,Шаблон моста,"Ничего не появляется, сбоя нет",0
331,OBJECT_LARGE_STRUCTURE_TEMPLATE,Шаблон большой структуры,"Ничего не появляется, сбоя нет",0
332,OBJECT_AUTOPICKUP_ITEM_TEMPLATE,Шаблон автоматически поднимаемого предмета,"Ничего не появляется, сбоя нет",0
333,OBJECT_TRAP_TEMPLATE,Шаблон ловушки,СБОЙ (вылетает игра),1
334,OBJECT_MELEE_WEAPON_TEMPLATE,Шаблон оружия,СБОЙ (вылетает игра),1
335,OBJECT_PROJECTILE_WEAPON_TEMPLATE,Шаблон стрел,"Ничего не появляется, сбоя нет",0
336,OBJECT_PROJECTILE_WEAPON_CROSSBOW_TEMPLATE,Шаблон стрел,"Ничего не появляется, сбоя нет",0
337,OBJECT_PROJECTILE_MISSILE_TEMPLATE,Шаблон стрел,СБОЙ (вылетает игра),1
338,OBJECT_BOW_TEMPLATE,Шаблон лука,СБОЙ (вылетает игра),1
339,OBJECT_GENERAL_TROPHY_TEMPLATE,Шаблон трофея,"Ничего не появляется, сбоя нет",0
